諸注意,Important Notes
しかし奇しくも、俺が昔から抱く<color=#BD00FF>『問題児』</color>のイメージに一番近かった。\nそう思うと、こいつの素行が悪いほど、『教育』のし甲斐を感じた。,Strangely enough; she is the closest to the image I've always had of a <color=#BD00FF>"problem child"</color>. When I think of it that way; the worse this girl's behavior gets; the more worthwhile I found it to "educate" her.
今日はちょっと話がある。\n普段のお前の態度について、一回ちゃんと言っておきたくてな。,I have something I need to talk to you about today. I wanted to have a serious talk with you about your usual behavior.
えぇ...面倒だから帰っていい？\nわたしこれから用事あって...あ、ちょっと！引っ張らないでよっ！,Eeehh... That sounds like a pain; can't I just go home? I've got things to do... Ah; wait a sec! Don't drag me away!
生徒指導室, Student Guidance Room
『生徒指導室』\nそこは、他の教室と違って、防音性に優れた設計となっており、\n<color=#BD00FF>一度入った生徒は二度と悪さをしなくなる...</color>,"The Student Guidance Room". Unlike the other classrooms; this one has excellent soundproofing; and <color=#BD00FF>once a student enters; they never misbehave again...</color>
...というようなウワサはなく、\n実態は単に先生と生徒が落ち着いて話せる部屋、くらいの認識だ。\n防音性が良くて静かなのも、話がしやすいポイントである。,...There aren't actually any rumors like that; in actuality; it's simply a room where teachers and students can talk calmly in order to come to an understanding. The excellent soundproofing and quiet environment help make it easier to have conversations.
いたた...なんなのよもう...って、ここは...,Ouch... Where are you dragging... This is...
おう、生徒指導室だ。\nここなら落ち着いて話せると思ってな。,Oh; it's the student guidance room. I figured we could talk more calmly here.
ここで？ふぅん...♪,In here? Hmm...♪
少しくらいひるんで欲しかったが、平然とした様子のキャミー。\nまぁ、こいつは<color=#FA91FF>結構頻繁にこの部屋で指導を受けている</color>ようだから、\n最早慣れてしまったんだろうが。,I was hoping to fluster her a little; but Cammy seemed perfectly calm. Well; this girl has probably <color=#FA91FF>received guidance here quite often</color>; so she must have gotten used to it by now.
俺もキャミーが他の先生とこの部屋を使っているのを見かけたが、\n<color=#FA91FF>先生の方がぐったりした顔をしていた。</color>\nそれだけ、こいつは手強いのだろう。,I did see another teacher bring Cammy to this room; but <color=#FA91FF>that teacher had such an exhausted look on his face</color>. This girl must be one tough nut to crack.
じゃあ話だけど、お前は普段から...,Now; let's talk; about the way you usually...
あ、ちょっと待って。\n<color=#FA91FF>その前に準備</color>しないと♪,Ah; wait a minute. I need to <color=#FA91FF>prepare myself first</color>♪
準備...？椅子の用意とかか？\nこいつなりに、俺の話を聞こうとしているのか。\n確かに立ったままじゃ落ち着けないし、意外とちゃんとして...,Prepare...? Is she setting up a chair? She's actually planning on listening to me? It is true that it's hard to have a calm conversation while standing; she's being surprisingly earnest...
はい、おまたせ❤,There; sorry to keep you waiting❤
っ！？な、な...！？,Hnn!? Wh-wh...!
そこには、制服の前をめくりあげたキャミーがいた。\nどうやら下着はつけていないようで、かろうじて乳首だけは隠しているが...,In front of me stood Cammy with the front of her uniform lifted up. I seemed that she wasn't wearing a bra; her nipples are barely covered...
ば、ばかっ！なんて格好を...！,Y-you idiot! Why are you standing there like that...!
あっは❤いい反応じゃない♪\nもしかしてセンセ、おっぱい見るの初めてだったりするのかしら？,Haha❤Isn't that a great reaction♪ Could it be; Sensei; that this is your first time seeing boobs?
くぅっ...,Guh...
図星だった。\n俺はこれまで、女性と交際した経験がない。\nだから女子校赴任が不安だったんだが、よりにもよってこいつに...,She hit the nail on the head. I never even dated a woman before. That's why I was so nervous being assigned to an all-girls school; and it just had to be this girl of all people...
黙ってるってことはぁ、そうなのね♪\nへぇ～♪<color=#FA91FF><size=20>童貞</size></color>のクセにわたしにエラそうにしてたんだ～？,You're not saying anything; I see how it is♪ Ohhh~♪ A <color=#FA91FF><size=20>virgin</size></color> has the nerve to act all high and mighty towards me~?
ど、<color=#FA91FF>童貞</color>なのは関係ないだろっ！\n決まりを守らないのはお前の方で...,I-it doesn't matter whether or not I'm a <color=#FA91FF>virgin</color>! You're the one who's not following the rules...
ん～？わたしの方が、なんだって～？,Hmm~? What is it you're trying to say about me~?
いや、その...<color=#FA91FF>///,No; that's...<color=#FA91FF>///
なんで離れてくのよ？\nもっと近くで話しましょうよ❤,Why are you backing away? We should get closer to talk❤
キャミーが近づいてくる。\nどうみてもからかわれているが、\n胸を露出した女の子に迫られ、反射的に後ずさりしてしまう。,Cammy is approaching me. No matter how I look at it; I know she's toying with me; but when a girl approaches me with her chest exposed; I instinctively back away.
いったん、はなれて...！\nまずその...前を、隠して...<color=#FA91FF>///,Just stay away for a moment...! First that... front part; cover it up...<color=#FA91FF>///
え～♪わたしぃ、この方が話しやすいんだけど～？\nセンセーだって、わたしのおっぱい見てるじゃない❤,Eh~♪ I find it easier to talk to people this way; you know~? Anyway Sensei; aren't you looking at my boobs❤
っ！？み、みてないっ！\nヘンなこと言うな！,Hng!? I-I'm not looking! Don't say such nonsense!
見たいわけじゃない。\nだが、無意識に視線が吸い寄せられてしまうのも事実だった。,I shouldn't want to look at them. But it was also true that my gaze was unconsciously drawn to them.
とにかく、シャツを元に......あっ,Anyway; start by putting your shirt...... Ah!
背中にコツンと、何かが当たる。\nそれは、この部屋の壁だった。\n知らず知らずのうちに、俺は壁まで追い詰められていた。,I felt something lightly pressing against my back. It was the wall of this room. Before I knew it; I'd been driven into a corner.
あはっ❤今気づいたの～？\n逃げ場なくなっちゃったわね？センセー❤,Aha❤ Did you just notice~? Guess you've got nowhere else to run; now do you? Sensei❤
キャミーが、おっぱいがどんどん近づいてくる。\nしかし退路を失った俺になす術はなく...,Cammy's boobs are drawing closer and closer. But with nowhere to run; I was helpless...
はい、つかまえた❤,There; gotcha❤
ふあぁっ！？❤<color=#FA91FF>///,Huaaah!?❤<color=#FA91FF>///
キャミーのおっぱいが、俺のお腹にぎゅ～っと押し付けられる。\n信じられない柔らかさに、全身の力が抜ける。,Cammy's breasts pressed tightly against my stomach. The incredible softness drained all the strength from my body.
あはっ♪何よ今の声～？\nただのハグに過剰反応しすぎでしょ❤,Aha♪ What was with that voice just now~? Don't you think that's a bit of an overreaction to a simple hug❤
ただのハグ...というには、密着感が強すぎた。\nほぼむき出しのおっぱいと俺の間には、薄いシャツだけしかない。\nほとんど生の感触が、俺の腹部を包み込む。,A simple hug... She calls it that; but they were pressing against me way too strongly. The only thing between her almost bare breasts and me was a thin shirt. The almost raw sensation enveloped my abdomen.
やめぇっ...❤はなれろぉ...❤,Stooop...❤ Get awaaay...❤
全身が、その気持ちよすぎるおっぱいに屈服しようとしていた。\n口の中も脱力し、最早まともに喋ることさえ困難だった。,My entire body was about to succumb to those incredibly pleasurable breasts. My mouth went slack; and I could barely speak properly anymore.
はなれろとか言ってぇ、全然抵抗しないじゃない♪\nほぉら♪おっぱいむぎゅ～❤,You're telling me to get away; but you're not even trying to resist♪ Hooora♪ Take my booby squeeze~❤
ひゃうぅう❤,Hyaaaa❤
いつもの生意気な表情を見せるキャミー。\nもちろん、俺も抵抗しようとはしている。\nだがおっぱいが押し付けられる度に、全身の力が抜けてしまう。,Cammy has her usual cheeky look on her face. Of course; I am trying to resist. But every time her breasts press against me; all the strength drains from my body
あっ❤あっ❤ひゃめへぇええ❤,Ahh❤ Ahh❤ Shtop iiiiiiiiii-❤
あっは♪おっぱいに全然かてまちぇんね～❤\nこのままこれ続けてたらぁ、どうなっちゃうのかしら～？くすくす♪,Hah♪ You can't even compete with these boobs~❤ If I keep doing this; I wonder what'll happen to you~? Hehehe♪
今されているのは、腹部におっぱいを押し付けられることだけ。\n股間への刺激はないし、キャミーはともかく俺は一切服を脱いでいない。,All that she's doing now is pressing her breasts against my stomach. There's no stimulation to the crotch at all; and unlike Cammy; I haven't taken off a single piece of clothing.
だが今、俺は確実に『<color=#FA91FF>絶頂</color>』に近づいていた。\n股間はズボンの中で限界まで屹立し、喘ぎ声も抑えられない。\nでも、こんなところで、こんなやつにイかされるなんて...！,But currently; I was definitely approaching my "<color=#FA91FF>climax</color>". My groin was standing at full attention inside my pants; and I couldn't hold back my gasps. But still; being forced to cum in a place like this; by this girl...!
やらぁあ❤らめぇええ❤やめへぇええ❤,Saaaah❤ Staaah❤ Stoooooo❤
んふふ♪イキそうなんだ～？\n生徒にハグされてるだけで～？なっさけな～い❤,Nyufufu♪ Are you about to cum~? Just from getting hugged by a student~? That's so pathetic❤
あぁん❤やめっ❤あはぁあん❤,Ahn❤ Stop❤ Ahhhhn❤
あはっ♪マジでもうイキそうじゃない❤\nそれじゃあ......❤,Aha♪ You can't seriously be about to cum❤ Alright then...❤
はい、おしまい❤,There; that's it❤
あっ...,Ahh...
イかされると思った直後、キャミーが俺から離れた。\n既に全身から力が抜けていた俺は、その場に座り込んでしまった。,Just as I thought I was about to cum; Cammy pulled away from me. All the strength had already been drained from my body; and I collapsed and sat right down where I was.
ふふ♪いい顔になったじゃない♪セ・ン・セ❤,Fufu♪ You made such a great face♪ Se~n~se~i❤
くぅ...<color=#FA91FF>///,Guh...<color=#FA91FF>///
完全に弄ばれている。\nまさか、女の子のおっぱいがここまで気持ちいいとは思いもしなかった。,I'm being completely toyed with. I never imagined a girl's breasts would feel this good.
（このままじゃダメだ...！何とかしない...と.......）,(Things can't keep going like this...! If I don't do something... I'll......)
んっふふ～♪やっとセンセのお顔が近くに来たわね❤,Nyufufu~♪ Sensei finally brought his face closer❤
俺が座り込んだことで...キャミーのおっぱいと目線が合う。\nこれは、まずい...！,By sitting down... I ended up eye level with Cammy's breasts. This is bad...!
じゃあ、続きいくから❤耐えられるかしら～？,Well; let's get back to it❤ Will you be able to endure this~?
や、やめ...,St-stop...
んふぅうううう❤,Mmmppppphhhh❤
「待つわけないじゃない♪」と言わんばかりに、\n俺の頭は勢いよくキャミーのおっぱいの中へと収められた。,As if saying "Why would I stop♪"; my head was plunged into Cammy's breasts.
先ほど服越しに、腹部に少し押し付けられただけで絶頂しかけた感触。\nそれを、寸止め状態で、顔全体に生の状態で包まれて...,Earlier; just slightly pressing against my abdomen through my clothes nearly sent me over the edge. Now; I'm stuck on the edge as my entire face is enveloped in the undiluted sensation...
こんなの、こんなの...\nガマンなんて、できるわけがなかった❤❤❤,Against something like this... There was no way I was going to be able to hold back❤❤❤
んっ❤❤んっ❤❤んっふぅうううう❤❤❤,Mmm❤❤ Mmm❤❤ Mmmphhhhh❤❤❤
あはっ❤瞬殺～❤せんせーのクセに情けないわね♪,Aha❤ It's an instant kill~❤ You sure are pathetic for a teacher♪
射精させられた。\n今から説教しようとしていた、自分の生徒に。\n直接、股間に触れられてもいないのに...！,She made me cum. The person I was about to lecture; my own student. Without even touching my groin directly...!
ねぇセンセー？わたしのおっぱい気持ちよかったかしら？,Hey; Sensei? Did my boobs feel good?
うぅ...<color=#FA91FF>///,Ugh...<color=#FA91FF>///
絶頂後の喪失感の中、俺は自分が情けなくて仕方がなかった。\n子ども相手に好き放題されて、そんなの、教師として...！,In my post-climax haze; I felt utterly pathetic. For a teacher to be taken advantage of by a child like that...!
それじゃ、もう一回いくわね？,Well then; how about we have another go? 
っ...！ま、まっ...,Uh...! W-wai...
んむぅううううう❤,Mmmmppphhhhh❤
再び、俺の頭はキャミーのおっぱいへ埋められた。,Once again; my head was buried in Cammy's breasts.
んっ❤んっ❤んっ❤,Mmm❤ Mmm❤ Mmm❤
教師だなんだと考えていた思考が、一瞬でピンク色に染まる。\n射精直後にもかかわらず、全身がビクンビクンと反応する。,The thoughts I'd been having about how I was a teacher and all that instantly got painted over with pink. Despite having just ejaculated; my entire body was jerking and twitching in response.
（なんで、こんなにぃ...くぅううう❤）,(Why; is this so... guuuuh❤)
通常、一度射精したらしばらくは性的に興奮しづらくなる。\nだが今の俺は、先ほどと同等、いやそれ以上に興奮させられていた。,Typically; after ejaculating once; it becomes difficult to become sexually aroused for a while. But now I was just as excited as before; no; even more than before.
俺は別に拘束されているわけでもない。\nおっぱいの中で喘いでいるだけじゃなく、相手を突き飛ばすなり、\nいくらでも抵抗はできるはずだ。,I'm not exactly being held down or anything. Instead of just moaning into her breasts; I could push her away; or resist in any other way I wanted.
だが、俺は体を動かせなかった。\n一度気持ちよさを覚えさせられた俺の体は、\nキャミーのおっぱいに屈服してしまっていた。,But I couldn't move a muscle. With my body having tasted that pleasure once; it had surrendered completely to Cammy's breasts.
あはは♪またビクビクしてきたわね❤\nもう限界なの？せんせーったら、ホントにザコなのね❤,Ahaha♪ You're getting all twitchy again❤ Already hit your limit? For a teacher; you really are a small fry❤
キャミーの言う通り、俺は既に絶頂寸前だった。\nだが、<color=#FA91FF>これ以上イかされるのは危険</color>だと本能的に感じる。\n何としても、ここは耐えて...,Cammy was correct; I was already on the verge of climax. However; a part of me instinctively felt that it would be <color=#FA91FF>dangerous for me to cum any more</color>. No matter what; I have to endure it this time...
じゃ、「命令」してあげるわね❤, Well; let me give you an "order"❤
「<b><i>射精しなさい、マゾ犬せんせ❤</i></b>」,"<b><i>Cum for me; you masochistic doggy Sensei❤</i></b>"
んっ！？❤んっ❤んむぅう❤んぅううう❤❤❤,Mmmph!?❤ Mmm❤ Mmmphhh❤ Mmmphhhhhh❤❤❤
キャミーに「命令」された瞬間、必死に快感に耐えていた俺の体は、\nあっけなく俺の制御を離れ、当然のように絶頂を迎えた。,The moment Cammy gave me her “order”; my body; which had been desperately trying to resist the pleasure; slipped from my control with startling ease and climaxed as if it were only natural.
いい子ね♪ほら、「<i><b>もっと射精しなさい</b></i>」❤,Good boy♪ Hora; "<i><b>Cum some more for me</b></i>"❤

んんん❤❤んむぅううう❤❤❤,Mmmmmmm❤❤ Mmmmppphhhh❤❤❤
もっとよ♪「<i><b>射精しろ</b></i>」❤,Even more♪ "<i><b>Cum</b></i>"❤
足りないわ♪「<i><b><size=20>全部ぶちまけなさい、マゾ犬</size></b></i>」❤,That's not enough♪ "<i><b><size=20>Shoot out everything; you masochistic doggy</size></b></i>"❤
ん...❤❤んんぅ...❤❤❤,Mmm...❤❤ Mmmmhh...❤❤❤
俺の体は、完全にキャミーの言いなりだった。\n「命令」の度に、俺の股間からは大量の精液が発射された。\n耐えがたいほどの快感を伴いながら...,My body was completely under Cammy's control. With each “order;” massive amounts of semen shot out from my groin. Accompanied by unbearably intense pleasure...
いっぱい出したわね、マゾ犬せんせー❤,You really let it all out; didn't you; you masochistic doggy Sensei❤
はぁ...っ❤はぁ...っ❤,Haaah...❤ Haaah...❤
「命令」どおり全てを出し切った俺の体は、もう腕を持ち上げることさえできないほど疲弊していた。教え子のおっぱいに包まれ、イかされ、体力も魔力も根こそぎ吸い尽くされてしまったのだ。,My body; having given everything as per her “order;” was now utterly exhausted to the point where I couldn’t even lift my arms. Enveloped by my student’s breasts and forced to cum; both my physical and magical strength had been drained completely.
そんなにおっぱい見つめちゃって❤まだおっぱい足りないのかしら？\n淫乱なワンちゃんね❤,Why are you staring at my boobs like that❤ Did you not get enough of them yet? You horny puppy❤
ほら、おっぱい欲しいなら、自分から来なさい❤,Hora; if you want my boobs that badly; then come and get them yourself❤
っ...！,Hnn...!
その言葉で、動かなかったはずの俺の体は、むくりと起き上がる。\n待て、待ってくれ...！,At those words; my body; which otherwise wasn't able to move; suddenly sprang to life. H-hold on...!
先ほどまでは、あくまで「襲われる」構図だった。\n大人の男として情けない姿ではあったが、それでもまだ、\n被害者としての立場でいられる余地はあった。,Until now; I had solely been the one who was getting "attacked". It would be pathetic for a grown man; but I still could've claimed that I was the victim.
だが、これは違う。\n<color=#FA91FF>自分から教え子のおっぱいに顔を埋める行為</color>は、最早言い逃れできない。\nしかもそれを、相手の命令で行うなど、そんなの...！,But this makes it different. I could no longer make an excuse for why <color=#FA91FF>my face was buried in a student's breasts</color>. Furthermore; to do that at the order of the student; that's...!
よくできたわね、ワンちゃんせんせ❤,Good job; Puppy-Sensei❤
んっ❤...んむぅう...❤,Mmmhh❤... Mmmphh...❤
「命令」どおり、俺はキャミーのおっぱいに顔を突っ込んでしまった。\n頭では必死に抵抗したものの、結局、ほとんど抗うことはできなかった。,Following her “order;” I buried my face in Cammy’s breasts. Though my mind desperately tried to fight it; in the end; I could barely muster up any resistance.
そして、その思考力も、おっぱいの感触に全て奪われる。\n自分から甘えるように顔を動かし、快感を貪る。,And now; what remained of my ability to think has been completely consumed by the sensation of her breasts. I nuzzle my face as if begging for affection; greedily seeking more pleasure.
それじゃあまた...❤\n「<i><b>射精しなさい</b></i>」❤,See you later...❤ "<i><b>Cum for me</b></i>"❤
先ほど一滴もでないほど出し尽くしたはずの俺の股間は、\n当然のように大量射精を行う。\nもはや自分の体に何が起こっているのか、理解さえできなかった。,My crotch; which I thought had been completely drained dry just moments ago; proceeds to shoot out a massive load as if it were only natural. I could no longer even comprehend what was happening to my own body.
ふふ♪調教完了、かしら❤,Fufu♪ Training complete; I suppose❤
俺の絶頂を確認して、立ち上がるキャミー。\nそして俺は、自然とその場で犬の「おすわり」をし、\n次の「命令」を待っていた。,After confirming my climax; Cammy stands up. And I naturally “sat” like a dog right there; waiting for her next “order.”
ところで、なんで犬が服を着てるのかしら？\n「<i><b>今すぐ服を全部脱ぎなさい</b></i>」♪,By the way; what kind of dog wears clothes? "<i><b>Take off all your clothes right now</b></i>"♪
わんっ❤,Woof❤
「命令」されるだけで、全身に快感が走る。\nそして、それに従うと更なる快感が得られる...\n俺はその快感に、完全に虜になっていた。,Just being given an “order” sends waves of pleasure through my entire body. And obeying it brings even greater pleasure... I was completely captivated by that pleasure.
うふふ♪すっかり言いなりじゃない♪\nほら、わたしの犬になれたことを感謝しながら、「<i><b>そこでオナニーしなさい</b></i>」❤,Ufufu♪ You're a total pushover; aren't you♪ Hora; show me how grateful you are that you get to be my dog; "<i><b>masturbate right where you are</b></i>"❤
言われるがまま全裸になった俺は、「<color=#FA91FF>ご主人様</color>」にオナニーを披露する❤\n命令を聞くだけで気持ちいいのに、オナニーまでさせてもらえるなんて❤\n俺の頭は「<color=#FA91FF>ご主人様</color>」への感謝で満ち溢れていた❤,I stripped naked as I was told and showed off my masturbation to my "<color=#FA91FF>master</color>"❤ Just obeying her orders feels so good; and now she's even letting me masturbate❤ My mind was filled with gratitude towards my "<color=#FA91FF>master</color>"❤
ところでせんせー？\nわたしに何か話があるんじゃなかったかしら～？,By the way; Sensei? Didn't you have something you wanted to talk about~?
はなし...？\n何かあった気がするが、オナニーの快感で思い出せない。,Talk about...? I feel like something had happened; but I can't remember with how good masturbating feels.
あ♪もしかしてぇ、わたしの<color=#FA91FF>マゾ犬奴隷</color>になりたいってことだったのかしら？\nだったら早く言えばよかったのに❤くすくす♪,Ah♪ Could it have been that it was that you wanted to be my <color=#FA91FF>masochistic doggy slave</color>? You should have told me sooner if that was it❤ Hehehe♪
「<color=#FA91FF>ご主人様</color>」のマゾ犬奴隷❤❤❤\nそのステキすぎる言葉に、許可もなく絶頂しそうになる❤,"<color=#FA91FF>Master's</color>" masochistic doggy slave❤❤❤ Those words were so incredibly sweet; I almost reached climax without permission❤
そうですぅ❤<color=#FA91FF>ご主人様</color>の<color=#FA91FF>マゾ犬奴隷</color>になりたいですぅう❤\nくぅうううん❤❤❤,That's it❤ I really want to be <color=#FA91FF>master's</color> <color=#FA91FF>masochistic doggy slave</color>❤ Hmmmmm❤❤❤
あはっ♪もう自分の立場が理解できてるみたいね♪\nいいわ♪ていうかこの学校の教師で<color=#FA91FF>マゾ犬</color>になってなかったの、あんただけだし♪\nこれで全教師陥落ね❤,Hah♪ Looks like you've finally learned your place♪ Alright♪ By the way; you were the only teacher at this school who hadn't become my <color=#FA91FF>masochistic doggy</color>♪ Now all the teachers have fallen❤
すごい❤<color=#FA91FF>ご主人様</color>は、もうほとんど学校を支配してたんだ❤\n俺なんかが逆らっていい相手じゃかったんだ❤,Awesome❤ <color=#FA91FF>Master</color> has almost taken over the entire school❤ She's not someone that a guy like me can mess with❤
それじゃ、マゾ犬せんせに命令よ♪\n「<i><b><size=20>気絶するまで射精しなさい</size></b></i>」❤,Alright then; it's time to give my masochistic doggy Sensei an order♪ "<i><b><size=20>Cum until you pass out</size></b></i>"❤
わ、わん❤わん❤わん❤,W-woof❤ Woof❤ Woof❤
それじゃ、わたしは帰るから♪\n後始末よろしくね、マゾ犬❤,Well then; I'll be heading home now♪ Take care of the cleanup; you masochistic doggy❤
オナニーする俺を置いて、部屋を出る<color=#FA91FF>ご主人様</color>。\n命令を守らなきゃ❤いっぱいシコシコして、いっぱい射精しなきゃ❤,<color=#FA91FF>Master</color> leaves me masturbating alone in the room. I have to follow her order❤I need to jerk off and cum a lot❤
その後、俺は命令どおりに射精しつづけ、意識を失った。\nしばらくして目覚めた俺は、周囲に飛び散った自分の精液を片付け、\nこれからの新生活に胸を躍らせながら、帰宅した────,After that; I kept ejaculating as she ordered until I lost consciousness. After a while; I woke up; cleaned up all of my cum that had been splattered around; and headed home; my heart racing with excitement for the new life ahead of me.
その後...,Afterwards...
あっ♪マゾ犬じゃん❤おはよ～♪,Ahh♪ Masochistic doggy❤ Good morning~♪
わん❤,Woof❤
返事できてえらいね～♪あっはは♪,You're so good at speaking~♪ Ahahaha♪
あれから...学校の様子は一変した。,Since that day... the atmosphere at school has completely changed.
<color=#FA91FF>学校の教師全員がマゾ犬になった</color>ことで、\n<color=#FA91FF>ご主人様</color>は俺たちが調教済みであることを公表した。\nそして、教師達はキャミー様だけでなく<color=#FA91FF>全生徒のマゾ犬奴隷</color>となった。,<color=#FA91FF>All the teachers at the school had been turned into masochistic dogs</color>; and our <color=#FA91FF>master</color> announced that we had been trained. Thus the teachers weren't just Cammy's; but were <color=#FA91FF>all of the students' masochistic doggy slaves</color>.
あはっ♪命令されて勃起してる～❤,Hah♪ You're getting hard on command~❤
その結果、校内の教師は服を着ることは禁じられた。\n返事は全て「わん❤」で統一され、\n常に四つん這いで生活するように命じられている。,As a result; teachers on campus were prohibited from wearing clothes. They had to reply to everything with a "Woof❤" and were ordered to crawl on all fours at all times.
ほら、オナニーしてもいいよ？<color=#FA91FF><i><b>マ・ゾ・い・ぬ❤</b></i>,Hora; you can masturbate if you want; okay? You <color=#FA91FF><i><b>ma~so~chi~stic~dog❤</b></i>
つい先日まで教師として、生徒を指導する立場であったはずの俺は、\n教え子の命令で、恥ずかしげもなくオナニーを披露する。,Until recently; I was a teacher in a position to instruct students. Now; I am shamelessly masturbating on the orders of my former students.
いけないことだと分かっているのに...\nいや、だからこそ、快感が強くなる❤\nマゾ犬にとって、恥ずかしいことは、それだけ気持ちいいことなのだ❤,Even though I know it's wrong... No; that is exactly why the pleasure is so intense❤ For a masochistic dog; the more humiliating something is; the more pleasurable it feels❤
あら？今日もお盛んね、マゾ犬❤,Ara? You're in an energetic mood again today; my masochistic doggy❤
わん❤わん❤,Woof❤ Woof❤
<color=#FA91FF>ご主人様</color>だ❤❤❤\nいや、今は全生徒が<color=#FA91FF>ご主人様</color>だけど、それでもやっぱり、\nキャミー<color=#FA91FF>ご主人様</color>にはマゾ犬に調教していただいた恩があって、\nどうしても特別に感じてしまう❤,<color=#FA91FF>Master</color>❤❤❤ No; all students are my <color=#FA91FF>masters</color> now; but I feel indebted to <color=#FA91FF>master</color> Cammy for training me to be a masochistic dog; so she feels special to me❤
あははっ♪めっちゃ興奮してんじゃん❤,Ahahaha♪ You're getting pretty excited; aren't you❤
ねぇキャミー、またこいつのマゾ芸みせてよ～♪,Hey; Cammy; make this one show us some masochistic tricks again~♪
え～？別に特別なこといらないし、みんなもできるわよ？\nそれじゃ、どうしようかしら...,Eh~? You don't need to do anything special; anyone can do that; you know? Well then; what should I do...
決めた♪\nマゾ犬❤「<i><b>天井に届くくらいの勢いで、無様に射精しなさい</b></i>」❤,I got it♪ Masochistic doggy❤ "<i><b>Have a really embarrassing ejaculation for us; shoot it out hard enough to reach the ceiling</b></i>"❤
あっははは♪マジで届いたんだけどー♪,Ahahahaha♪ He actually hit it though♪
うける～w じゃ、「<i><b>天井に付いた精液、自分でなめとれ</b></i>」❤,That's hilarious~ hahahaha. Now; "<i><b>go lick your own cum off of the ceiling</b></i>"❤
